Date;Event Type;Event Details;Check Point;Tour ID;Guard Name;Image | Audio | Video
06/08/2022 14:16;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;155;Security 1 (40e0d01078);|  |
06/08/2022 14:13;MME;;303958 - CP1-BF;155;Security 1 (40e0d01078);? |  |
06/08/2022 14:13;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;155;Security 1 (40e0d01078);|  |
06/08/2022 14:11;MME;;303974 - CP2-BF;155;Security 1 (40e0d01078);? |  |
06/08/2022 14:11;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;155;Security 1 (40e0d01078);|  |
06/08/2022 14:11;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;155;Security 1 (40e0d01078);|  |
06/08/2022 14:10;START;;;155;Security 1 (40e0d01078);|  |
06/08/2022 14:00;MISSEDSCAN;Schedule: 13761050 - BF-12am Loose Schedule;304781 - CP9-BF;0;Security 1 (40e0d01078);|  |
06/08/2022 14:00;MISSEDSCAN;Schedule: 13836962 - BF-12am Loose Schedule;304781 - CP9-BF;0;Security 1 (40e0d01078);|  |
06/08/2022 14:00;MISSEDSCAN;Schedule: 13761050 - BF-12am Loose Schedule;303958 - CP1-BF;0;Security 1 (40e0d01078);|  |
06/08/2022 14:00;MISSEDSCAN;Schedule: 13761050 - BF-12am Loose Schedule;303957 - CP5-BF;0;Security 1 (40e0d01078);|  |
06/08/2022 14:00;MISSEDSCAN;Schedule: 13761050 - BF-12am Loose Schedule;303974 - CP2-BF;0;Security 1 (40e0d01078);|  |
06/08/2022 12:13;FINISH;;;154;Security 1 (40e0d01078);|  |
06/08/2022 12:13;MME;;303957 - CP5-BF;154;Security 1 (40e0d01078);? |  |
06/08/2022 12:12;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;154;Security 1 (40e0d01078);|  |
06/08/2022 12:10;MME;;303958 - CP1-BF;154;Security 1 (40e0d01078);? |  |
06/08/2022 12:10;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;154;Security 1 (40e0d01078);|  |
06/08/2022 12:09;MME;;303974 - CP2-BF;154;Security 1 (40e0d01078);? |  |
06/08/2022 12:08;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;154;Security 1 (40e0d01078);|  |
06/08/2022 12:07;START;;;154;Security 1 (40e0d01078);|  |
06/08/2022 12:00;MISSEDSCAN;Schedule: 13836226 - BF-10am Loose Schedule;304781 - CP9-BF;0;Security 1 (40e0d01078);|  |
06/08/2022 10:23;FINISH;;;153;Security 1 (40e0d01078);|  |
06/08/2022 10:23;MME;;303957 - CP5-BF;153;Security 1 (40e0d01078);? |  |
06/08/2022 10:23;NFCSCAN;LYG  - Majalengka;303957 - CP5-BF;153;Security 1 (40e0d01078);|  |
06/08/2022 10:22;MME;;303958 - CP1-BF;153;Security 1 (40e0d01078);? |  |
06/08/2022 10:22;NFCSCAN;LYG  - Majalengka;303958 - CP1-BF;153;Security 1 (40e0d01078);|  |
06/08/2022 10:20;MME;;303974 - CP2-BF;153;Security 1 (40e0d01078);? |  |
06/08/2022 10:20;NFCSCAN;LYG  - Majalengka;303974 - CP2-BF;153;Security 1 (40e0d01078);|  |
06/08/2022 10:19;START;;;153;Security 1 (40e0d01078);|  |
06/08/2022 09:00;MISSEDSCAN;Schedule: 13834572 - BF-8am Loose Schedule;304781 - CP9-BF;0;Security 1 (40e0d01078);|  |
06/08/2022 08:11;FINISH;;;152;Security 1 (40e0d01078);|  |
